company_name,raw_name,isin,sector,symbol,ticker,tradable
JSW STEEL LTD,JSW STEEL LTD.FV-1,INE019A01038,MANUFACTURE OF BASIC METALS,JSWSTEEL,JSWSTEEL.NS,Y
KARUR VYSYA BANK,KARUR VYSYA BANKFV-2,INE036D01028,BANKING & FINANCE,KARURVYSYA,KARURVYSYA.NS,Y
NAVIN FLUORINE INTERNATIONAL LIMITED,NAVIN FLUORINE INTERNATIONAL LIMITED,INE048G01026,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,NAVINFLUOR,NAVINFLUOR.NS,Y
PERSISTENT SYSTEMS LIMITED,PERSISTENT SYSTEMS LIMITEDFV-5,INE262H01021,"COMPUTER PROGRAMMING, CONSULTANCY AND RELATED ACTIVITIES",PERSISTENT,PERSISTENT.NS,Y
PI INDUSTRIES LIMITED,PI INDUSTRIES LIMITED,INE603J01030,MANUFACTURE OF CHEMICALS AND CHEMICAL PRODUCTS,PIIND,PIIND.NS,Y
POWER GRID CORPN. OF INDIA LTD,POWER GRID CORPN. OF INDIA LTD.,INE752E01010,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",POWERGRID,POWERGRID.NS,Y
RAINBOW CHILDRENS MEDICARE LIMITED,RAINBOW CHILDRENS MEDICARE LIMITED,INE961O01016,HUMAN HEALTH ACTIVITIES,RAINBOW,RAINBOW.NS,Y
SAMVARDHANA MOTHERSON INTERNATIONAL LTD,SAMVARDHANA MOTHERSON INTERNATIONAL LTD,INE775A01035,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",MOTHERSON,MOTHERSON.NS,Y
SCHAEFFLER INDIA LIMITED,SCHAEFFLER INDIA LIMITED,INE513A01022,MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.,SCHAEFFLER,SCHAEFFLER.NS,Y
TATA MOTORS PASSENGER VEHICLES LIMITED,TATA MOTORS PASSENGER VEHICLES LIMITED,INE155A01022,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",TMPV,TMPV.NS,Y
TENNECO CLEAN AIR INDIA LIMITED,TENNECO CLEAN AIR INDIA LIMITED,INE19RI01016,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",TENNIND,TENNIND.NS,Y
THE RAMCO CEMENTS LIMITED,THE RAMCO CEMENTS LIMITED,INE331A01037,MANUFACTURE OF OTHER NON-METALLIC MINERAL PRODUCTS,RAMCOCEM,RAMCOCEM.NS,Y
THERMAX LTD,THERMAX LTD.,INE152A01029,"MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND EQUIPMENT",THERMAX,THERMAX.NS,Y
TORRENT PHARMACEUTICALS LIMITED,TORRENT PHARMACEUTICALS LIMITED,INE685A01028,"MANUFACTURE OF PHARMACEUTICALS, MEDICINAL CHEMICAL AND BOTANICAL PRODUCTS",TORNTPHARM,TORNTPHARM.NS,Y
UNO MINDA LIMITED,UNO MINDA LIMITED,INE405E01023,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",UNOMINDA,UNOMINDA.NS,Y
VARUN BEVERAGES LTD,VARUN BEVERAGES LTDFV-5FV-2,INE200M01039,MANUFACTURE OF BEVERAGES,VBL,VBL.NS,Y
ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LTD,ZF COMMERCIAL VEHICLE CONTROL SYSTEMS INDIA LTD,INE342J01019,"MANUFACTURE OF MOTOR VEHICLES, TRAILERS AND SEMI-TRAILERS",ZFCVINDIA,ZFCVINDIA.NS,Y
ABB INDIA LIMITED,ABB INDIA LIMITED,INE117A01022,MANUFACTURE OF ELECTRICAL EQUIPMENT,ABB,ABB.NS,Y
AVENUE SUPERMARTS LTD,AVENUE SUPERMARTS LTD.,INE192R01011,"RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",DMART,DMART.NS,Y
BANK OF BARODA,BANK OF BARODAFV-2,INE028A01039,BANKING & FINANCE,BANKBARODA,BANKBARODA.NS,Y
BHARAT HEAVY ELECTRICALS LTD,BHARAT HEAVY ELECTRICALS LTD.FV-2,INE257A01026,"MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND EQUIPMENT",BHEL,BHEL.NS,Y
CANARA BANK,CANARA BANKFV-2,INE476A01022,BANKING & FINANCE,CANBK,CANBK.NS,Y
CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,CG POWER AND INDUSTRIAL SOLUTIONS LIMITED,INE067A01029,MANUFACTURE OF ELECTRICAL EQUIPMENT,CGPOWER,CGPOWER.NS,Y
CHOLAMANDALAM INVESTMENT & FINANCE COMPANY LIMITED,CHOLAMANDALAM INVESTMENT & FINANCE COMPANY LIMITEDFV-2,INE121A01024,BANKING & FINANCE,CHOLAFIN,CHOLAFIN.NS,Y
CUMMINS INDIA LTD,CUMMINS INDIA LTD.,INE298A01020,MANUFACTURE OF MACHINERY AND EQUIPMENT N.E.C.,CUMMINSIND,CUMMINSIND.NS,Y
HDFC ASSET MANAGEMENT COMPANY LTD,HDFC ASSET MANAGEMENT COMPANY LTD,INE127D01025,BANKING & FINANCE,HDFCAMC,HDFCAMC.NS,Y
HINDUSTAN ZINC LTD,HINDUSTAN ZINC LTD. FV-2,INE267A01025,MANUFACTURE OF BASIC METALS,HINDZINC,HINDZINC.NS,Y
INDIAN HOTELS CO. LTD,INDIAN HOTELS CO. LTD.,INE053A01029,ACCOMMODATION,INDHOTEL,INDHOTEL.NS,Y
JSW ENERGY LIMITED,JSW ENERGY LIMITED,INE121E01018,"ELECTRICITY, GAS, STEAM AND AIR CONDITIONING SUPPLY",JSWENERGY,JSWENERGY.NS,Y
LG ELECTRONICS INDIA LIMITED,LG ELECTRONICS INDIA LIMITED,INE324D01010,"MANUFACTURE OF COMPUTER, ELECTRONIC AND OPTICAL PRODUCTS",LGEINDIA,LGEINDIA.NS,Y
